   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.99639,             0.99501,             0.99494,             0.96641,           0.0090648,            0.010764,          0.00052755,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.99595,             0.99422,             0.99491,             0.96829,           0.0071428,           0.0090549,          0.00042714,             0.01288,             0.01238,              0.9246,             0.00055,               3.466,             0.83167,             0.11931,               0.044,             0.51938,                   1,              0.9964,             0.91491,                 0.2,              3.4812,                   0,               0.015,             0.67993,             0.40163,                   0,             0.09532,              0.4188,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8459
