               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075515,            0.040367,            0.021418,              0.6084,             0.69291,             0.68651,             0.33861,            0.050415,            0.025593,            0.013941,           0.0033148,           0.0033148,            0.070167
                   1,            0.054729,            0.024979,            0.011507,             0.63418,             0.74065,             0.70574,             0.36561,            0.045925,             0.02079,           0.0087778,           0.0066043,           0.0066043,            0.040123
                   2,            0.051048,            0.022952,           0.0087139,             0.84322,             0.87189,             0.90981,             0.52663,            0.041361,            0.020468,           0.0074588,           0.0098497,           0.0098497,            0.010035
                   3,            0.043782,            0.021653,            0.007963,             0.95266,             0.90423,             0.96619,             0.61344,            0.035665,            0.018334,           0.0065561,            0.009802,            0.009802,            0.009802
                   4,            0.037699,             0.02022,           0.0069645,             0.97507,             0.92871,             0.97782,             0.68367,            0.029694,            0.017042,           0.0063965,            0.009802,            0.009802,            0.009802
                   5,            0.034139,             0.01918,           0.0071095,             0.97363,             0.92631,             0.97825,             0.72384,            0.027791,            0.016686,           0.0061685,            0.009736,            0.009736,            0.009736
                   6,            0.032215,            0.018984,           0.0066599,             0.97517,             0.93454,             0.97989,             0.75216,            0.024306,            0.015697,           0.0063087,             0.00967,             0.00967,             0.00967
                   7,            0.030485,            0.018108,           0.0060366,             0.97501,             0.94289,             0.98321,             0.78748,            0.023878,            0.014699,           0.0059054,            0.009604,            0.009604,            0.009604
                   8,            0.028953,            0.017572,           0.0060036,             0.97848,             0.94078,             0.98317,             0.79327,            0.022156,             0.01435,           0.0056169,            0.009538,            0.009538,            0.009538
                   9,            0.027477,            0.017316,           0.0059897,             0.98488,              0.9483,             0.98657,              0.8155,            0.019637,            0.013269,           0.0055311,            0.009472,            0.009472,            0.009472
                  10,            0.027182,            0.016604,           0.0057254,              0.9803,               0.949,             0.98569,             0.82459,            0.019651,            0.013432,           0.0054856,            0.009406,            0.009406,            0.009406
                  11,            0.026088,            0.016575,           0.0058228,             0.98296,             0.95198,             0.98667,             0.83226,            0.018137,            0.012886,            0.005282,             0.00934,             0.00934,             0.00934
                  12,            0.025167,            0.015957,           0.0057568,             0.98081,             0.95067,             0.98643,              0.8001,            0.019403,            0.013218,           0.0053666,            0.009274,            0.009274,            0.009274
                  13,            0.024942,            0.015893,           0.0055448,             0.98698,              0.9519,             0.98798,             0.81385,            0.018654,            0.012723,           0.0052153,            0.009208,            0.009208,            0.009208
                  14,            0.024676,            0.015921,             0.00541,             0.98487,             0.95129,             0.98852,             0.83676,            0.018437,            0.012597,           0.0050147,            0.009142,            0.009142,            0.009142
                  15,            0.024088,            0.015339,           0.0053354,             0.98341,             0.95103,             0.98857,             0.83922,             0.01799,            0.012194,            0.004921,            0.009076,            0.009076,            0.009076
                  16,            0.023775,            0.015146,           0.0051061,             0.98517,             0.95043,             0.98851,             0.83456,            0.017524,            0.012337,           0.0048268,             0.00901,             0.00901,             0.00901
                  17,            0.023434,            0.014983,           0.0050173,             0.98795,              0.9515,             0.98977,             0.84535,            0.017553,            0.012005,           0.0047702,            0.008944,            0.008944,            0.008944
                  18,            0.022854,            0.014989,           0.0050285,             0.98231,             0.95408,             0.98942,             0.85433,            0.016538,            0.011718,           0.0047602,            0.008878,            0.008878,            0.008878
